Permit Number,Permit Application Type,Date Issued,Building Use,Work Class,Cost of Construction,Number of Units,Number of Stories,Stats Can # of Units Lost,Location,LocType,Subdivision Code,Name,Contact Type Description,Construction Type
PRSF202501264,Single/Semi-Detached Dwelling 1-2 units,2025-05-27 00:00:00,Residential,New construction,250000,2,2,,"2964 KAUFMAN WAY, REGINA, SK S4V3Z5",Address,The Towns,CRAWFORD HOMES (1991) LTD.,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSF202501298,Single/Semi-Detached Dwelling 1-2 units,2025-05-27 00:00:00,Residential,New construction,182710,1,2,,3040 DUMONT WAY,Address,The Towns,CITY OF REGINA,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRTN202501327,Tent / Temporary Structure,2025-05-27 00:00:00,Institutional,Other,4000,,,,2350 LAKESHORE DRIVE,Address,Wascana Park,A1-RENT ALLS - DESIREE WRIGHT,Contractor,Not Applicable
PRAD202501117,Addition,2025-05-28 00:00:00,Commercial,Addition to existing building commercial & residential,705680,0,0,,"1720 E ROSS AVENUE, REGINA, SK S4N7A3",Address,Industrial Ross,BBK ENGINEERING - DUSTIN SHEWCHUK,Contractor,"460-Storage building; warehouse (for storage purposes only), industrial mall, grain elevator, locker rental, silo, quonset, refrigerated storage terminal"
PRDE202501237,Demolition,2025-05-28 00:00:00,Residential,Demolition,0,0,0,,"1551 ROTHWELL STREET, REGINA, SK S4N2B5",Address,Glen Elm Park,ALHERS CONSTRUCTION SERVICES LTD,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDE202501272,Demolition,2025-05-28 00:00:00,Residential,Garage/Carport/Accessory Structure,40000,0,0,,"10 BASIN CRESCENT, REGINA, SK S4R7T1",Address,Uplands,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDE202501288,Demolition,2025-05-28 00:00:00,Residential,Demolition,1500,0,0,,"1427 WASCANA STREET, REGINA, SK S4T4J6",Address,Old 33,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDK202501137,Deck/Sunroom,2025-05-28 00:00:00,Residential,Alteration and improvements,10000,0,0,,"2331 MCLURG CRESCENT, REGINA, SK S4V2N3",Address,Wood Meadows,SUNCOAST ENCLOSURES,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDK202501204,Deck/Sunroom,2025-05-28 00:00:00,Residential,Alteration and improvements,9000,0,0,,"5619 VEDETTE ROAD, REGINA, SK S4W0R1",Address,Harbour Landing,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202500977,Foundation Repair,2025-05-28 00:00:00,Residential,Alteration and improvements,1450,0,0,,"1122 QUEEN STREET, REGINA, SK S4T4B2",Address,Old 33,AAA SOLID FOUNDATION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202501302,Foundation Repair,2025-05-28 00:00:00,Residential,Alteration and improvements,8000,0,0,,"11 LIPTON PLACE, REGINA, SK S4R3T5",Address,Regent Park,COLOSSAL CONSTRUCTION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202501326,Foundation Repair,2025-05-28 00:00:00,Residential,Alteration and improvements,26555,0,0,,"2710 ARGYLE STREET, REGINA, SK S4S0K6",Address,Normandy Heights,REGINA BASEMENT BRACING - COLE CROWLEY,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202501365,Foundation Repair,2025-05-28 00:00:00,Residential,Alteration and improvements,2100,0,0,,"52 LORIMER CRESCENT, REGINA, SK S4R3Y2",Address,Coronation Park N.,AAA SOLID FOUNDATION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRGA202500867,Garage/Carport,2025-05-28 00:00:00,Residential,Garage/Carport/Accessory Structure,90000,0,0,,"836 HORACE STREET, REGINA, SK S4T5K8",Address,Rosemont North,SVC CONSTRUCTION & GENERAL CONTRACTING LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRGA202501094,Garage/Carport,2025-05-28 00:00:00,Residential,Garage/Carport/Accessory Structure,32500,0,0,,"2324 RAE STREET, REGINA, SK S4T2G2",Address,Old 33,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202501165,Renovation/Alteration,2025-05-28 00:00:00,Residential,Alteration and improvements,40000,0,0,,"731 CONNAUGHT STREET, REGINA, SK S4T4S5",Address,Balbriggan Place,BOUSS CONSTRUCTION INC.,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202501251,Renovation/Alteration,2025-05-28 00:00:00,Residential,Alteration and improvements,40000,0,0,,"2344 MACKAY STREET, REGINA, SK S4N2T1",Address,Broders Annex,BOUSS CONSTRUCTION INC.,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202501266,Renovation/Alteration,2025-05-28 00:00:00,Residential,Alteration and improvements,4000,0,0,,"1226 N GELSINGER PLACE, REGINA, SK S4X4K2",Address,Lakeridge,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSF202501001,Single/Semi-Detached Dwelling 1-2 units,2025-05-28 00:00:00,Residential,New construction,480000,1,2,,"3099 DUMONT WAY, REGINA, SK *",Address,The Towns,101301324 SASKATCHEWAN LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRAD202500891,Addition,2025-06-02 00:00:00,Commercial,Addition to existing building commercial & residential,1181697,,,,"5125 E GREEN BROOKS WAY, REGINA, SK S4V3M4",Address,The Greens on Gardiner,CITY OF REGINA,Property Owner,"620-Elementary school, kindergarten"
PRBS202501348,Basement Development,2025-05-29 00:00:00,Residential,New,50000,0,0,,"4741 PADWICK AVENUE, REGINA, SK S4W0C4",Address,Harbour Landing,"BMW CONTRACTING LIMITED., - BRANDON WEINBERGER",Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRBS202501385,Basement Development,2025-06-04 00:00:00,Residential,Alteration and improvements,25000,0,0,,"5401 E NICHOLSON AVENUE, REGINA, SK S4V4B3",Address,The Towns,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDE202500714,Demolition,2025-06-04 00:00:00,Residential,Demolition,47335.68,,,1,"1818 TORONTO STREET, REGINA, SK S4P1M6",Address,Old 33,FIRST CHOICE EXCAVATION & DEMOLITION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDE202501301,Demolition,2025-06-03 00:00:00,Residential,Demolition,28300,0,0,1,"1656 ATHOL STREET, REGINA, SK S4T3E1",Address,Old 33,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDE202501313,Demolition,2025-06-01 00:00:00,Residential,Demolition,1800,0,0,,"1160 RAE STREET, REGINA, SK S4T2B8",Address,Old 33,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDE202501324,Demolition,2025-06-03 00:00:00,Residential,Demolition,22000,0,0,1,"1136 QUEEN STREET, REGINA, SK S4T4B2",Address,Old 33,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDK202501254,Deck/Sunroom,2025-06-04 00:00:00,Residential,Alteration and improvements,4000,0,0,,"4716 E BUCKINGHAM DRIVE, REGINA, SK S4V3X8",Address,The Towns,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDK202501292,Deck/Sunroom,2025-06-01 00:00:00,Residential,Addition to existing building commercial & residential,5000,0,0,,"4729 E KAUFMAN AVENUE, REGINA, SK S4V3Y4",Address,The Towns,REDACTED,Property Owner,"330-Row House, garden home, town house, carriage home, quadrex"
PRDK202501328,Deck/Sunroom,2025-05-29 00:00:00,Residential,Alteration and improvements,7000,0,0,,"2969 GREEN STONE ROAD, REGINA, SK S4V3Z7",Address,The Towns,PIVOT CONSTRUCTION,Contractor,"330-Row House, garden home, town house, carriage home, quadrex"
PRDK202501342,Deck/Sunroom,2025-05-29 00:00:00,Residential,Alteration and improvements,25000,0,0,,"207 ROGERS ROAD, REGINA, SK S4S7C3",Address,Albert Park,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDK202501353,Deck/Sunroom,2025-06-02 00:00:00,Residential,New,4430,0,0,,"2999 GREEN STONE ROAD, REGINA, SK S4V3Z7",Address,The Towns,REDACTED,Property Owner,"330-Row House, garden home, town house, carriage home, quadrex"
PRDK202501354,Deck/Sunroom,2025-06-02 00:00:00,Residential,Alteration and improvements,7000,0,0,,"4033 DELHAYE WAY, REGINA, SK S4W0N3",Address,Harbour Landing,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDK202501390,Deck/Sunroom,2025-06-04 00:00:00,Residential,Alteration and improvements,5160,0,0,,"3410 FOSTER BAY, REGINA, SK S4S7C1",Address,Albert Park,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202500909,Foundation Repair,2025-06-04 00:00:00,Residential,Alteration and improvements,19000,0,0,,"4212 CASTLE ROAD, Unit:L, REGINA, SK S4S4W1",Address,Whitmore Park,RSR CONSTRUCTION,Contractor,335-Row House - Condominium
PRFR202501359,Foundation Repair,2025-05-29 00:00:00,Residential,Alteration and improvements,8500,0,0,,"1618 E LEE PLACE, REGINA, SK S4V0S7",Address,Gardiner Park,TECHNIQUE CONSTRUCTION INC. - KEVIN WASSILL,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202501364,Foundation Repair,2025-05-29 00:00:00,Residential,Alteration and improvements,5770,0,0,,"68 HUDSON DRIVE, REGINA, SK S4S2W6",Address,Parliament Place,AAA SOLID FOUNDATION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202501393,Foundation Repair,2025-05-29 00:00:00,Residential,Alteration and improvements,6000,0,0,,"3430 PORTNALL AVENUE, REGINA, SK S4S1A8",Address,Lakeview Centre,JS GROUP OF COMPANIES,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202501399,Foundation Repair,2025-06-02 00:00:00,Residential,Alteration and improvements,22000,0,0,,"1018 DOWNEY CRESCENT, REGINA, SK S4N5V1",Address,Glencairn Village,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202501416,Foundation Repair,2025-06-03 00:00:00,Residential,Alteration and improvements,20000,0,0,,"43 HODGES CRESCENT, REGINA, SK S4N4R2",Address,Glencairn Village,JUNIORS CONSTRUCTION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202501473,Foundation Repair,2025-06-04 00:00:00,Residential,Alteration and improvements,10450,0,0,,"3506 WASCANA STREET, REGINA, SK S4S2H3",Address,Lakeview South,AAA SOLID FOUNDATION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202501490,Foundation Repair,2025-06-04 00:00:00,Residential,Alteration and improvements,6450,0,0,,"167 HASTINGS CRESCENT, REGINA, SK S4T7N8",Address,Normanview West,AAA SOLID FOUNDATION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRGA202501057,Garage/Carport,2025-06-04 00:00:00,Residential,Garage/Carport/Accessory Structure,30000,0,0,,"62 CHARLES CRESCENT, REGINA, SK S4T5X4",Address,Coventry Place,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRGA202501236,Garage/Carport,2025-05-29 00:00:00,Residential,Garage/Carport/Accessory Structure,38000,0,0,,"526 RINK AVENUE, REGINA, SK S4X2E8",Address,Mccarthy Park,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRGA202501329,Garage/Carport,2025-06-03 00:00:00,Residential,Garage/Carport/Accessory Structure,19800,0,0,,3168 GREEN TURTLE ROAD,Address,The Towns,EHRENBURG HOMES LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRGA202501330,Garage/Carport,2025-06-03 00:00:00,Residential,Garage/Carport/Accessory Structure,19800,,,,3164 GREEN TURTLE ROAD,Address,The Towns,EHRENBURG HOMES LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRGA202501331,Garage/Carport,2025-06-02 00:00:00,Residential,Garage/Carport/Accessory Structure,19800,0,0,,3160 GREEN TURTLE ROAD,Address,The Towns,EHRENBURG HOMES LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRGA202501332,Garage/Carport,2025-06-03 00:00:00,Residential,Garage/Carport/Accessory Structure,19800,0,0,,3136 GREEN TURTLE ROAD,Address,The Towns,EHRENBURG HOMES LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRGA202501336,Garage/Carport,2025-06-02 00:00:00,Residential,Garage/Carport/Accessory Structure,19800,0,0,,3144 GREEN TURTLE ROAD,Address,The Towns,EHRENBURG HOMES LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRGA202501338,Garage/Carport,2025-06-02 00:00:00,Residential,Garage/Carport/Accessory Structure,19800,0,0,,3140 GREEN TURTLE ROAD,Address,The Towns,EHRENBURG HOMES LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRGA202501339,Garage/Carport,2025-06-02 00:00:00,Residential,Garage/Carport/Accessory Structure,19800,0,0,,3159 BOWEN STREET,Address,The Towns,EHRENBURG HOMES LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRGA202501340,Garage/Carport,2025-06-02 00:00:00,Residential,Garage/Carport/Accessory Structure,19800,0,0,,3163 BOWEN STREET,Address,The Towns,EHRENBURG HOMES LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRGA202501341,Garage/Carport,2025-06-02 00:00:00,Residential,Garage/Carport/Accessory Structure,19800,0,0,,3167 BOWEN STREET,Address,The Towns,EHRENBURG HOMES LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRMH202501405,Plumbing,2025-05-29 00:00:00,Residential,Mechanical,3000,0,0,,"2814 BORDEN STREET, REGINA, SK S4N2L3",Address,Assiniboia East,PROFESSIONAL PLUMBING AND HEATING,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRNR202500588,New Commercial,2025-06-02 00:00:00,Industrial,Foundation (new),2930000,,,,"1155 PARK STREET, REGINA, SK S4N4Y8",Address,Industrial Ross,PTI REAL ESTATE CORPORATION,Property Owner,"520-Office building; consultant’s office, doctor’s office, insurance company, bank, taxi stand, office/cafeteria, office/smoke shop"
PRNR202500875,New Commercial,2025-06-03 00:00:00,Commercial,New construction,1100000,0,1,,3340 EAST BYPASS SERVICE ROAD,Address,Chuka Creek Business Park,WESTRIDGE CONSTRUCTION - LIAM CLARKE,Contractor,"560-Indoor recreational building; sports complex, tennis court and squash, community center, arena, curling club, swimming pool"
PRRN202500245,Renovation/Alteration,2025-06-03 00:00:00,Commercial,Alteration and improvements,350000,,,,"455 PARK STREET, REGINA, SK S4N5B2",Address,Industrial Ross,JOHN DEERE CANADA ULC,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202500948,Renovation/Alteration,2025-06-02 00:00:00,Commercial,Alteration and improvements,40000,,,,"2709 13TH AVENUE, REGINA, SK S4T1N4",Address,Old 33,CO-OPERATIVE HAIL INSURANCE COMPANY LIMITED,Property Owner,"520-Office building; consultant’s office, doctor’s office, insurance company, bank, taxi stand, office/cafeteria, office/smoke shop"
